config,score,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate,total_trades,trades_per_month,profit_factor,final_equity,years,avg_trade_pnl,p_name,p_sniper_fast,p_sniper_slow,p_sniper_adx,p_sniper_sl_atr,p_sniper_tp_atr,p_sniper_risk_pct,p_sniper_max_per_month,p_bg_fast,p_bg_slow,p_bg_adx,p_bg_sl_atr,p_bg_tp_atr,p_bg_risk_pct,p_bg_max_per_month,p_atr_period,p_adx_period,p_atr_z_lookback,p_rsi_period,p_use_rsi_filter,p_rsi_long_max,p_rsi_short_min,p_use_dynamic_targets,p_high_vol_mult,p_low_vol_mult,p_normal_vol_mult,p_high_z,p_low_z,p_sniper_alloc,p_background_alloc
grid_031_sa15_ba18_sm3_stp4.0,44.306,27.71,6.32,18.43,0.429,30.0,160,3.34,1.295,12770.66,3.99,17.32,grid_031_sa15_ba18_sm3_stp4.0,5,13,15.0,1.0,4.0,2.0,3,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_008_sa10_ba18_sm3_stp5.0,43.81,25.52,5.86,16.14,0.38,27.68,177,3.7,1.223,12551.68,3.99,14.42,grid_008_sa10_ba18_sm3_stp5.0,5,13,10.0,1.0,5.0,2.0,3,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_029_sa15_ba18_sm2_stp4.0,43.698,24.0,5.54,15.31,0.388,29.94,157,3.28,1.258,12400.46,3.99,15.29,grid_029_sa15_ba18_sm2_stp4.0,5,13,15.0,1.0,4.0,2.0,2,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_035_sa15_ba20_sm3_stp4.0,43.649,25.79,5.92,18.24,0.408,28.0,150,3.13,1.28,12579.08,3.99,17.19,grid_035_sa15_ba20_sm3_stp4.0,5,13,15.0,1.0,4.0,2.0,3,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_034_sa15_ba20_sm2_stp5.0,43.516,31.82,7.17,15.44,0.486,26.62,139,2.9,1.373,13181.97,3.99,22.89,grid_034_sa15_ba20_sm2_stp5.0,5,13,15.0,1.0,5.0,2.0,2,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_013_sa12_ba15_sm2_stp4.0,43.499,21.77,5.06,12.01,0.351,31.68,202,4.22,1.189,12177.32,3.99,10.78,grid_013_sa12_ba15_sm2_stp4.0,5,13,12.0,1.0,4.0,2.0,2,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_002_sa10_ba15_sm2_stp5.0,43.492,23.55,5.44,14.46,0.362,30.85,201,4.2,1.198,12355.4,3.99,11.72,grid_002_sa10_ba15_sm2_stp5.0,5,13,10.0,1.0,5.0,2.0,2,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_019_sa12_ba18_sm3_stp4.0,43.252,24.5,5.64,17.03,0.374,28.73,181,3.78,1.221,12450.45,3.99,13.54,grid_019_sa12_ba18_sm3_stp4.0,5,13,12.0,1.0,4.0,2.0,3,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_012_sa10_ba20_sm3_stp5.0,43.151,23.59,5.45,15.97,0.359,25.75,167,3.49,1.21,12359.13,3.99,14.13,grid_012_sa10_ba20_sm3_stp5.0,5,13,10.0,1.0,5.0,2.0,3,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_033_sa15_ba20_sm2_stp4.0,43.037,22.09,5.13,15.12,0.366,27.89,147,3.07,1.242,12208.91,3.99,15.03,grid_033_sa15_ba20_sm2_stp4.0,5,13,15.0,1.0,4.0,2.0,2,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
