config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2021,y2022,y2023,y2024,y2025
r2_1_tp4_a18_25,84.47,25.92,0.482,28.48,11.36,1.128,818,5,2.658313738087714,59.84843777528255,10.752991421677205,23.27677869804552,-17.66550860491256,0.0013199149414999667
r2_1_tp4_a10_18,9.91,23.63,0.146,32.58,17.74,1.019,1277,4,2.748830068577379,0.6045444225150076,17.111048633075043,6.800992091753177,-12.670537085103394,-2.6542086707514123
r2_1_tp5_a12_20,17.06,28.65,0.191,30.19,15.74,1.038,1133,2,13.474820001288212,-3.931988473008552,-10.988543587933519,35.98014135682488,-5.68888849757252,-5.933025675780346
r2_1_tp5_a15_22,151.37,24.08,0.63,29.4,13.66,1.169,983,4,28.515986401512873,40.75458038495394,2.602874779232378,68.78812647528156,-16.96207084894129,-3.3703005386993445
r2_1_tp5_a18_25,178.97,24.36,0.695,27.22,11.28,1.206,812,4,13.746059836500745,63.4861975161678,11.530167285328252,67.14499329768174,-16.07539995247691,-4.1123602914494235
r2_1_tp5_a10_18,33.38,24.6,0.28,31.16,17.7,1.067,1274,2,12.933936698631143,-3.083014882339985,-5.923675985996413,42.97548424123683,-3.623786946323726,-5.993238735853312
r1_1_tp3_a12_20,28.11,17.8,0.351,35.06,15.81,1.091,1138,5,1.2434259222643629,0.025114307027007676,-2.6019151089703874,9.224726671836647,8.228892905342233,9.87759588720234
r1_1_tp3_a15_22,94.39,12.35,0.821,35.46,13.71,1.243,987,6,6.154685588154729,15.159356401585612,11.61158684561805,17.239619805828088,7.921698689015355,12.601941489998868
r1_1_tp3_a18_25,77.46,10.85,0.75,33.29,11.39,1.232,820,6,10.447803144793477,12.184831564472741,8.327151481340467,13.234978016033727,9.52284199569393,6.604760103256679
r1_1_tp3_a10_18,33.27,16.71,0.379,35.5,17.77,1.093,1279,5,0.35543777451632064,-3.25333942155579,4.733697982391516,11.99921731771525,6.926754181726835,9.44119852219012
r1_1_tp4_a12_20,14.4,20.61,0.226,31.95,15.78,1.054,1136,4,3.7961425551031214,4.045710274311065,-3.523845659730218,2.9778698813350157,-3.270339320592275,10.228942930825436
r1_1_tp4_a15_22,105.77,10.54,0.802,31.98,13.68,1.229,985,5,9.768335300998277,25.908408707841303,19.77511875898934,15.951721705960509,-1.8840312049573815,9.260997075493504
r1_1_tp4_a18_25,60.68,15.34,0.566,28.48,11.36,1.165,818,5,5.155642587470188,29.386577934437174,9.37315456417782,11.426694898689238,-5.32590991658124,2.358050491076602
r1_1_tp4_a10_18,16.23,16.86,0.215,32.58,17.74,1.043,1277,4,2.8656025027487875,-2.127552555591461,12.048347154481775,3.8826557623269142,-2.8385722856867024,2.0854095812922635
r1_1_tp5_a12_20,27.76,21.01,0.319,30.19,15.74,1.087,1133,4,6.401181733829442,-3.9753618682483505,-5.780579983523304,22.99965389713399,5.580819428926764,2.1973660619179602
r1_1_tp5_a15_22,111.92,11.75,0.776,29.4,13.66,1.225,983,5,20.74779713940409,18.704911775236454,7.253706135365423,35.90958509191322,-1.5939638966293024,3.070910596085996
r1_1_tp5_a18_25,131.69,14.08,0.861,27.22,11.28,1.28,812,5,15.32573330228817,37.13533151814836,10.97836256438356,30.713708561837105,1.1850582960444278,-0.1924315026793244
r1_1_tp5_a10_18,22.89,19.05,0.276,31.16,17.7,1.067,1274,4,3.7573422345144936,-1.378931820777829,-3.945671737230083,17.472657042031138,4.459241627061861,1.88565091659465
ema513_di,61.21,18.59,0.45,33.1,15.86,1.133,1142,5,7.59627000607026,1.9221511646082101,9.035702369411736,9.151052825480255,-2.731872073444974,26.986204932720636
bg_only_di,0.95,25.38,0.055,38.06,10.88,1.003,783,3,9.38797640844593,-13.736730664975628,5.543590077901661,-4.120799907656025,5.799255464532727,-0.07950526908735434
sniper_only_di,112.34,39.45,0.511,22.01,11.04,1.112,795,5,15.279649771146264,55.873517550478354,32.9157507154908,1.4324378812806016,-17.440059629663185,6.167535575512173
conservative_di,53.17,14.06,0.556,30.98,11.43,1.165,823,4,4.035081047080169,26.69185836513659,9.854713029803296,15.27915845285104,-5.805925531476131,-2.578117240286315
balanced_rr_di,24.01,20.61,0.308,38.31,16.39,1.076,1180,4,1.2570303074633582,-1.219133367817149,-1.1909782598378937,6.5431034510682995,1.7919131143395939,15.698425183505416
