config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2022,y2024,y2025,halt20_ret,halt20_dd
r1.0_0.75_tp4.0_a18_22,9.71,22.1,0.161,29.02,13.41,1.035,965,2,-3.930433510588349,2.610842620189646,-9.52894056175585,-1.4163463692922762,8.45,20.18
r1.0_0.75_tp4.0_a18_25,10.66,22.24,0.174,26.18,11.14,1.042,802,2,-2.649697054600675,1.853271350200525,-7.850332712842556,-3.043454388342526,10.34,20.19
r1.0_0.75_tp4.0_a20_20,-4.07,26.72,-0.015,30.57,15.09,0.984,1086,2,-7.556567037785777,9.437919140946871,-10.03747647473745,-3.3407451245143327,0.99,19.99
r1.0_0.75_tp4.0_a20_22,-0.94,24.32,0.03,28.88,12.99,0.996,935,2,-7.032011564119944,7.555603223443574,-13.001682510815716,-4.49191632786996,2.87,20.02
r1.0_0.75_tp4.0_a20_25,-0.93,24.88,0.029,25.91,10.72,0.996,772,2,-7.652134785524922,6.7819783876117645,-11.10218099739625,-6.0678407804690915,3.62,20.19
r1.0_1.0_tp3.0_a15_20,9.78,17.97,0.167,33.83,15.77,1.032,1135,3,-1.0132630294463096,4.008493903454258,-1.1389119148521254,3.608427697724581,9.78,17.97
r1.0_1.0_tp3.0_a15_22,10.1,17.61,0.174,32.72,13.67,1.036,984,3,-0.8273069613413009,1.5988573767456105,-1.0866051777414287,0.11734605733952908,10.1,17.61
r1.0_1.0_tp3.0_a15_25,11.65,17.78,0.199,30.69,11.41,1.046,821,4,0.9928797360616803,0.4825679273419592,1.2612734520298652,-2.304040474416702,11.65,17.78
r1.0_1.0_tp3.0_a18_20,5.35,19.33,0.113,33.72,15.53,1.018,1118,3,1.615495329912986,6.671983231098766,-1.5049264542350338,-0.8762943572342419,5.35,19.33
r1.0_1.0_tp3.0_a18_22,7.69,17.57,0.142,32.57,13.43,1.027,967,3,1.8036335857196661,4.232148257687984,-3.559692604400888,-1.099243186389709,7.69,17.57
r1.0_1.0_tp3.0_a18_25,10.45,17.26,0.177,30.47,11.17,1.039,804,4,3.6728285984094278,3.097058753252546,2.2415600761047427,-5.208061801678365,10.45,17.26
r1.0_1.0_tp3.0_a20_20,-12.45,22.23,-0.18,33.09,15.16,0.943,1091,2,-9.059269418780858,6.56166591380134,-4.76795844800545,-1.310257046786989,-13.77,20.27
r1.0_1.0_tp3.0_a20_22,-13.25,21.24,-0.183,31.81,13.06,0.939,940,2,-9.109587981371991,7.7873892131702815,-10.374277423609612,-2.8573478066405533,-13.33,20.11
r1.0_1.0_tp3.0_a20_25,-3.38,18.73,-0.007,29.47,10.79,0.986,777,2,-7.317685146509856,7.23079548627461,-4.678626109426986,-7.948570584361181,-3.38,18.73
r1.0_1.0_tp4.0_a15_20,15.74,20.84,0.221,31.07,15.74,1.047,1133,3,-1.7842013411553004,6.559781686297428,-8.672426401334777,1.7715911561734021,10.25,20.05
r1.0_1.0_tp4.0_a15_22,19.08,20.74,0.254,29.53,13.64,1.059,982,4,-1.6111667127869378,4.118197290720049,-8.66379309990255,1.0285235070220722,14.46,19.95
r1.0_1.0_tp4.0_a15_25,20.76,21.44,0.277,26.86,11.38,1.071,819,3,0.18990866212633684,2.972412219174281,-6.5425357694944175,-0.35994307156526073,16.86,20.2
r1.0_1.0_tp4.0_a18_20,10.77,22.4,0.17,30.65,15.5,1.035,1116,3,-4.42547840382902,6.5732285087559905,-5.5279682542663355,1.0902238380480656,7.24,20.24
r1.0_1.0_tp4.0_a18_22,11.47,21.57,0.178,29.02,13.41,1.039,965,2,-4.253768244158273,4.202122767705796,-9.775547050711364,-0.49086631066842523,9.35,19.95
r1.0_1.0_tp4.0_a18_25,12.26,22.06,0.19,26.18,11.14,1.046,802,2,-2.497955740673008,3.0785503337653397,-8.12196379950233,-2.5409015181048655,11.06,20.2
r1.0_1.0_tp4.0_a20_20,-2.14,25.17,0.015,30.57,15.09,0.992,1086,2,-7.0715757653612705,11.733659675088571,-11.131832293521748,-2.0635592760813837,-0.1,19.94
r1.0_1.0_tp4.0_a20_22,0.71,24.36,0.053,28.88,12.99,1.003,935,2,-6.579313557033018,9.21257587084301,-13.134216100216978,-3.59523883946844,3.95,20.11
r1.0_1.0_tp4.0_a20_25,1.41,24.99,0.061,25.91,10.72,1.006,772,2,-7.394214858126846,8.062974137065627,-10.246766578119049,-5.580825227438324,5.76,20.09
r1.5_0.5_tp3.0_a15_20,13.9,22.9,0.198,33.83,15.77,1.044,1135,2,-0.3804488451797039,-1.3518938484650467,2.4698190408812826,-2.8360989832226013,13.7,20.22
r1.5_0.5_tp3.0_a15_22,14.33,22.74,0.203,32.72,13.67,1.047,984,2,-0.060579649121228485,-2.1015176049387407,2.3822654289400225,-3.6311729082999733,15.66,20.05
r1.5_0.5_tp3.0_a15_25,16.28,23.11,0.224,30.69,11.41,1.056,821,3,0.7733884310116013,-2.658546624868219,2.9561528651897317,-4.129662012584578,18.35,20.09
r1.5_0.5_tp3.0_a18_20,10.46,24.8,0.162,33.72,15.53,1.034,1118,4,3.4863114416521235,1.5357800625545481,0.7941105350126598,-2.496023121385005,10.16,20.67
r1.5_0.5_tp3.0_a18_22,10.2,24.18,0.161,32.57,13.43,1.034,967,4,3.816844016914822,0.3251635754343951,0.7063443451957863,-3.2962901426329294,11.11,20.2
r1.5_0.5_tp3.0_a18_25,9.27,24.53,0.151,30.47,11.17,1.032,804,3,4.685373573988039,-0.0601824915509197,1.270231542770217,-4.4987426917604045,11.34,20.43
r1.5_0.5_tp3.0_a20_20,-19.62,26.92,-0.231,33.09,15.16,0.919,1091,2,-10.423923729420281,5.868261244633688,-5.960031912708342,-8.077868047647385,-12.94,20.0
