config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2022,y2024,y2025,halt20_ret,halt20_dd
r2.0_1.0_tp3.0_a15_20,18.81,28.99,0.218,33.83,15.77,1.045,1135,2,-0.9184446754981423,-0.6613903331516235,2.9676685463931873,-0.4241135088485892,22.78,20.07
r2.0_1.0_tp3.0_a15_22,19.4,27.94,0.224,32.72,13.67,1.048,984,2,-0.7134347989947165,-1.31632957320591,2.8003167064515555,-1.958122745524693,24.43,20.24
r2.0_1.0_tp3.0_a15_25,19.74,27.3,0.227,30.69,11.41,1.052,821,3,1.0851092861125622,-1.276921074342685,4.063953062678927,-3.989812469597709,25.9,20.08
r2.0_1.0_tp3.0_a18_20,10.8,28.79,0.154,33.72,15.53,1.026,1118,4,4.164708037846698,3.2281963156124416,1.0216330173269617,-2.114698870353493,13.36,20.08
r2.0_1.0_tp3.0_a18_22,6.88,27.62,0.123,32.57,13.43,1.017,967,3,4.374301109504319,-0.9472492323633563,0.8527894986527285,-3.627737592420721,10.33,20.09
r2.0_1.0_tp3.0_a18_25,15.28,27.86,0.189,30.47,11.17,1.038,804,4,6.2666089988761,1.4541730696077781,2.0936085701209084,-5.626174452265486,21.2,20.13
r2.0_1.0_tp3.0_a20_20,-20.0,30.99,-0.167,33.09,15.16,0.936,1091,2,-11.142413931902873,8.489684384031925,-7.355092830562848,-9.593509598665273,-9.35,20.01
r2.0_1.0_tp3.0_a20_22,-24.07,33.26,-0.254,31.81,13.06,0.912,940,1,-10.779230538998474,-1.4106902755043005,-7.510210972795884,-10.993860676873568,-9.12,20.09
r2.0_1.0_tp3.0_a20_25,-23.12,31.11,-0.199,29.47,10.79,0.922,777,2,-10.159620616164,3.7738745474057867,-6.375606005504397,-12.840932677208661,-11.2,20.42
r2.0_1.0_tp4.0_a15_20,23.8,30.6,0.239,31.07,15.74,1.053,1133,3,-3.002890048185558,5.012812783001119,-4.091020944084322,0.050935434316667916,30.36,20.12
r2.0_1.0_tp4.0_a15_22,25.84,29.83,0.253,29.53,13.64,1.06,982,2,-3.5062946810466067,4.7696940156023215,-4.24100353566944,-1.4878474037492317,-6.72,20.35
r2.0_1.0_tp4.0_a15_25,36.81,30.56,0.317,26.86,11.38,1.083,819,2,-3.3151294904669615,3.613876672789007,-3.0680339571881876,-3.5049557405738785,47.57,20.16
r2.0_1.0_tp4.0_a18_20,7.79,35.93,0.13,30.65,15.5,1.017,1116,2,-5.766950457345521,1.8361096717114167,-9.787555045840858,-3.5638443379947926,24.68,20.44
r2.0_1.0_tp4.0_a18_22,11.18,35.25,0.154,29.02,13.41,1.025,965,2,-4.778038472605218,0.5078148200339028,-9.934090745743585,-5.0481920369236155,34.16,19.96
r2.0_1.0_tp4.0_a18_25,15.3,35.92,0.181,26.18,11.14,1.035,802,1,-4.56644361548414,-0.6918297211711999,-8.829971349419253,-6.990190449712963,37.56,20.02
r2.0_1.0_tp4.0_a20_20,-15.57,40.51,-0.076,30.57,15.09,0.96,1086,2,-6.506649915254226,10.929644715913224,-16.41336578239898,-9.76505081131559,-4.5,20.33
r2.0_1.0_tp4.0_a20_22,-13.82,39.61,-0.056,28.88,12.99,0.964,935,2,-6.1160804635843835,12.095208739254982,-16.553344239426615,-11.153809733107934,-3.87,20.08
r2.0_1.0_tp4.0_a20_25,-6.9,40.56,0.012,25.91,10.72,0.982,772,2,-5.7995065667523775,11.023222337829019,-15.53829084877777,-12.970354382441174,-5.94,20.3
lowdd,4.66,17.77,0.107,30.47,11.17,1.021,804,3,3.2942447066193647,0.6512302308315565,-0.08544581665440587,-5.444854932991216,4.66,17.77
bal,16.28,22.46,0.22,32.72,13.67,1.05,984,2,-0.3375217627492044,-1.1540960632003383,2.500097110216859,-2.944386332142146,15.88,20.31
