config,score,pos_years,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate,total_trades,trades_per_month,profit_factor,final_equity,years,avg_trade_pnl
no_trend_boost,12.971,0,-13.15,-2.32,20.07,-0.209,30.45,220,3.06,0.85,868.53,6.0,-0.6
tgt_stp6.0_btp2.5_l1.35_h0.8,12.934,0,-7.77,-1.34,20.17,-0.121,35.19,108,1.5,0.855,922.34,6.0,-0.72
tgt_stp6.0_btp2.5_l1.35_h0.75,12.921,0,-7.78,-1.34,20.18,-0.102,35.19,108,1.5,0.855,922.16,6.0,-0.72
tgt_stp6.0_btp2.5_l1.25_h0.75,12.721,0,-8.14,-1.41,20.14,-0.108,33.94,109,1.51,0.848,918.56,6.0,-0.75
tgt_stp6.0_btp2.5_l1.25_h0.8,12.647,0,-8.13,-1.4,20.14,-0.128,33.94,109,1.51,0.848,918.75,6.0,-0.75
tgt_stp6.0_btp3.0_l1.25_h0.75,12.473,0,-9.39,-1.63,19.92,-0.131,29.75,121,1.68,0.834,906.14,6.0,-0.78
tgt_stp6.0_btp3.0_l1.25_h0.8,12.397,0,-9.37,-1.63,19.92,-0.153,29.75,121,1.68,0.834,906.29,6.0,-0.77
tgt_stp6.0_btp3.0_l1.35_h0.75,11.397,0,-9.88,-1.72,19.9,-0.141,29.52,105,1.46,0.816,901.19,6.0,-0.94
tgt_stp6.0_btp3.0_l1.35_h0.8,11.348,0,-9.87,-1.72,19.9,-0.165,29.52,105,1.46,0.817,901.3,6.0,-0.94
tgt_stp4.0_btp2.5_l1.35_h0.8,9.963,0,-10.84,-1.89,19.89,-0.211,33.06,124,1.72,0.802,891.59,6.0,-0.87
tgt_stp4.0_btp2.5_l1.35_h0.75,9.917,0,-10.78,-1.88,19.9,-0.241,33.6,125,1.74,0.803,892.18,6.0,-0.86
tgt_stp4.0_btp2.5_l1.25_h0.75,9.346,0,-11.18,-1.96,19.92,-0.25,33.07,127,1.76,0.796,888.17,6.0,-0.88
tgt_stp4.0_btp2.5_l1.25_h0.8,9.078,0,-11.44,-2.0,19.79,-0.224,33.6,125,1.74,0.79,885.65,6.0,-0.91
tgt_stp4.0_btp3.0_l1.25_h0.8,8.69,0,-11.87,-2.08,19.84,-0.222,30.65,124,1.72,0.787,881.34,6.0,-0.96
tgt_stp4.0_btp3.0_l1.25_h0.75,8.411,0,-11.95,-2.1,19.84,-0.259,30.08,123,1.71,0.785,880.46,6.0,-0.97
tgt_stp4.0_btp3.0_l1.35_h0.8,7.633,0,-12.37,-2.18,19.84,-0.235,29.17,120,1.67,0.77,876.27,6.0,-1.03
tgt_stp4.0_btp3.0_l1.35_h0.75,7.365,0,-12.49,-2.2,20.0,-0.274,28.93,121,1.68,0.77,875.05,6.0,-1.03
