config,mom_lookback,mom_lookback_short,swing_lookback,swing_lookback_short,sniper_resid_z,bg_resid_z,sniper_tp_atr,bg_tp_atr,sniper_risk_pct,bg_risk_pct,use_sweep_stop,bg_persist,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,train,train_dd,oos,oos_dd,oos_sharpe,y2020,y2021,y2022,y2023,y2024,y2025,score
ml8_ms4_sl12_ss18_sz1.25_bz0.75_tp3.0/2.5_r1.5_p2,8,4,12,18,1.25,0.75,3.0,2.5,1.5,1.0,True,2,17.77,8.01,0.392,36.81,2.26,1.385,163,4,19.73,8.01,-1.64,5.79,-0.197,0.36647245876006984,-0.3334514607413963,0.27119827976336275,19.370073939147826,-2.9583651527444688,1.3569733663376438,9.040750000000001
ml12_ms4_sl18_ss24_sz1.25_bz0.75_tp4.0/2.5_r1.5_p2,12,4,18,24,1.25,0.75,4.0,2.5,1.5,1.0,True,2,-2.97,8.88,-0.122,29.21,1.24,0.883,89,3,-5.61,8.88,2.8,2.04,0.421,-4.426076173869697,-1.126269721265516,1.027948332346229,-1.133711915842961,2.162284047262353,0.6255429007230973,8.93525
ml12_ms4_sl18_ss24_sz1.25_bz0.75_tp4.0/2.5_r1.0_p2,12,4,18,24,1.25,0.75,4.0,2.5,1.0,1.0,True,2,-3.5,8.45,-0.185,29.21,1.24,0.844,89,2,-5.17,8.45,1.76,1.74,0.344,-3.2375877347781135,-1.126269721265516,-0.39311210180414946,-0.4877466189436519,1.6326346039206907,0.12113005714831093,8.7435
ml12_ms4_sl18_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.5_p2,12,4,18,24,1.0,0.5,4.0,2.5,1.5,1.0,True,2,-4.19,9.84,-0.154,28.7,1.6,0.874,115,2,-6.02,9.84,1.95,2.45,0.276,-2.727316534998969,-1.3317897317047356,-0.7584078596537869,-1.3331583923984813,1.6779293073894586,0.2670393936816229,8.65525
ml12_ms4_sl18_ss24_sz1.25_bz0.5_tp4.0/2.5_r1.5_p2,12,4,18,24,1.25,0.5,4.0,2.5,1.5,1.0,True,2,-4.46,10.09,-0.171,28.95,1.58,0.861,114,2,-6.28,10.09,1.95,2.45,0.276,-2.727316534998969,-2.1042823486896456,-0.25431245155767,-1.3331583923985035,1.6779293073894586,0.2670393936816673,8.6315
ml12_ms4_sl18_ss24_sz1.25_bz0.75_tp3.0/2.5_r1.5_p2,12,4,18,24,1.25,0.75,3.0,2.5,1.5,1.0,True,2,-3.6,9.43,-0.166,30.34,1.24,0.854,89,1,-5.06,9.43,1.53,2.04,0.255,-2.3670231481885295,-1.1262697212655048,-0.5202170970008413,-1.1337119158429387,1.7618534653451645,-0.22650999772722002,8.6265
ml4_ms4_sl48_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.0_p2,4,4,48,24,1.0,0.5,3.0,2.5,1.0,1.0,True,2,-1.87,7.46,-0.103,30.34,1.24,0.91,89,3,-2.52,6.64,0.66,2.98,0.114,-0.25588561267085863,-2.2239358253353103,-0.24423106945473672,0.19799301101190991,0.3518444883927385,0.30890472394231594,8.52125
ml12_ms4_sl18_ss24_sz1.25_bz0.75_tp3.0/2.5_r1.0_p2,12,4,18,24,1.25,0.75,3.0,2.5,1.0,1.0,True,2,-3.93,8.83,-0.222,30.34,1.24,0.821,89,1,-4.8,8.83,0.91,1.74,0.191,-1.8521365064613327,-1.1262697212655048,-1.4188324771405414,-0.4877466189436408,1.3656808826425504,-0.4477025723958472,8.46625
ml8_ms4_sl12_ss24_sz1.25_bz0.5_tp3.0/2.5_r1.5_p2,8,4,12,24,1.25,0.5,3.0,2.5,1.5,1.0,True,2,15.9,7.11,0.348,32.39,2.44,1.306,176,4,21.9,5.31,-4.51,6.71,-0.531,0.2496909139581449,2.837798572967687,0.02510214133639721,18.20925618545719,-3.5863015767812034,-1.3822908051068783,8.449
ml12_ms4_sl18_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.0_p2,12,4,18,24,1.0,0.5,4.0,2.5,1.0,1.0,True,2,-4.96,9.64,-0.228,28.7,1.6,0.834,115,1,-5.82,9.64,0.91,2.15,0.163,-1.5177035452897725,-1.8845339949466244,-1.8573604719798964,-0.6884962242495019,1.150790949432623,-0.23821099247145483,8.3925
ml12_ms4_sl18_ss24_sz1.25_bz0.5_tp4.0/2.5_r1.0_p2,12,4,18,24,1.25,0.5,4.0,2.5,1.0,1.0,True,2,-4.98,9.66,-0.233,28.95,1.58,0.83,114,1,-5.84,9.66,0.91,2.15,0.163,-1.5177035452897725,-2.1042823486896567,-1.657336588858016,-0.688496224249513,1.150790949432623,-0.23821099247148814,8.387
ml12_ms4_sl18_ss24_sz1.25_bz0.5_tp3.0/2.5_r1.5_p2,12,4,18,24,1.25,0.5,3.0,2.5,1.5,1.0,True,2,-5.08,10.63,-0.214,29.82,1.58,0.839,114,1,-5.73,10.63,0.69,2.45,0.112,-0.6316652821623969,-2.1042823486896567,-1.782828349761978,-1.3331583923984924,1.2793971799963888,-0.5839582667827581,8.326999999999998
ml12_ms4_sl18_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.5_p2,12,4,18,24,1.0,0.5,3.0,2.5,1.5,1.0,True,2,-5.22,10.76,-0.214,29.57,1.6,0.839,115,1,-5.87,10.76,0.69,2.45,0.112,-0.6316652821623969,-1.7506772922859182,-2.2814853077044117,-1.3331583923984591,1.2793971799963888,-0.5839582667827581,8.3235
ml12_ms4_sl18_ss24_sz1.25_bz0.5_tp3.0/2.5_r1.0_p2,12,4,18,24,1.25,0.5,3.0,2.5,1.0,1.0,True,2,-5.41,10.25,-0.266,29.82,1.58,0.813,114,1,-5.48,10.25,0.07,2.15,0.022,-0.10762689055884289,-2.1042823486896345,-2.670038378404549,-0.688496224249513,0.8851028645038728,-0.806334235652284,8.13175
ml12_ms4_sl18_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.0_p2,12,4,18,24,1.0,0.5,3.0,2.5,1.0,1.0,True,2,-5.66,10.49,-0.275,29.57,1.6,0.808,115,1,-5.73,10.49,0.07,2.15,0.022,-0.10762689055884289,-2.1637923686673943,-2.86861124687251,-0.6884962242495463,0.8851028645039172,-0.8063342356522951,8.116499999999998
ml8_ms4_sl12_ss18_sz1.25_bz0.75_tp4.0/2.5_r1.0_p2,8,4,12,18,1.25,0.75,4.0,2.5,1.0,1.0,True,2,13.13,7.14,0.316,35.58,2.26,1.313,163,3,14.14,7.14,-0.88,4.64,-0.12,-0.8348607752751591,0.052410207657493935,-2.731186924265161,18.269165352702487,-2.145662480102839,1.2888008637891746,6.96425
ml8_ms4_sl12_ss24_sz1.25_bz0.75_tp4.0/2.5_r1.0_p2,8,4,12,24,1.25,0.75,4.0,2.5,1.0,1.0,True,2,14.94,6.56,0.357,34.53,1.93,1.408,139,2,16.41,6.56,-1.27,4.47,-0.179,-0.8348607752751591,0.5663791846266086,-2.0509471809149526,19.178142821075905,-1.2444582556276673,-0.021864949608829676,6.962000000000001
ml8_ms4_sl12_ss18_sz1.25_bz0.75_tp3.0/2.5_r1.0_p2,8,4,12,18,1.25,0.75,3.0,2.5,1.0,1.0,False,2,12.79,5.42,0.443,40.37,2.24,1.324,161,3,14.91,5.42,-1.84,5.0,-0.226,0.7205959965211006,-2.1141550945853016,4.0493071324158025,12.013056800569277,-1.343011743487399,-0.5066109891579296,6.923749999999999
ml8_ms4_sl12_ss24_sz1.25_bz0.5_tp4.0/2.5_r1.5_p2,8,4,12,24,1.25,0.5,4.0,2.5,1.5,1.0,True,2,19.23,6.74,0.337,31.25,2.44,1.36,176,2,23.2,5.31,-2.82,6.35,-0.295,-1.864547902228908,3.592142768541806,-2.2034489124738377,23.92284807386842,-3.206915863474147,-0.02362340953734332,6.875249999999999
ml8_ms4_sl12_ss24_sz1.25_bz0.75_tp3.0/2.5_r1.0_p2,8,4,12,24,1.25,0.75,3.0,2.5,1.0,1.0,True,2,12.68,6.56,0.375,35.97,1.93,1.355,139,3,15.47,6.56,-2.42,4.79,-0.378,0.5849928717021724,0.0734454772401083,-0.5561798435379295,15.360340859966737,-1.5038548507099403,-0.9332995798770893,6.625
ml8_ms4_sl12_ss18_sz1.25_bz0.75_tp3.0/2.5_r1.0_p2,8,4,12,18,1.25,0.75,3.0,2.5,1.0,1.0,True,2,10.82,7.14,0.321,36.81,2.26,1.264,163,3,13.22,7.14,-2.12,5.04,-0.324,0.5849928717021724,-0.43800424194767595,-1.2468004953367529,14.480481952087821,-2.402691923902467,0.29250007872798633,6.6055
ml8_ms4_sl12_ss18_sz1.25_bz0.5_tp4.0/2.5_r1.5_p2,8,4,12,18,1.25,0.5,4.0,2.5,1.5,1.0,True,2,15.32,8.14,0.278,31.86,2.83,1.253,204,3,20.12,6.15,-3.58,7.74,-0.378,-1.864547902228908,3.3476630710222333,-2.882629556876637,21.94823094916687,-5.21001501681968,1.288307964719393,6.594
ml8_ms4_sl12_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.5_p2,8,4,12,24,1.0,0.5,4.0,2.5,1.5,1.0,True,2,13.87,8.08,0.251,30.6,2.54,1.232,183,2,20.03,5.95,-4.72,7.69,-0.492,-2.7590537861077014,3.854004769121744,-2.916003383915544,22.424832479679836,-3.723626494662624,-1.460430357614373,6.35975
ml8_ms4_sl12_ss24_sz1.25_bz0.5_tp4.0/2.5_r1.0_p2,8,4,12,24,1.25,0.5,4.0,2.5,1.0,1.0,True,2,10.57,6.47,0.255,31.25,2.44,1.22,176,2,15.85,4.71,-4.14,6.07,-0.557,-0.9489725539127192,2.9174508779507002,-2.969914292621978,17.119053416560327,-3.0783232315527154,-1.5198269252338137,6.18375
ml8_ms4_sl12_ss18_sz1.25_bz0.5_tp3.0/2.5_r1.5_p2,8,4,12,18,1.25,0.5,3.0,2.5,1.5,1.0,True,2,12.03,8.56,0.271,32.84,2.83,1.203,204,3,18.84,6.15,-5.33,8.17,-0.624,0.2496909139581449,2.5950991440652604,-0.6695554163520079,16.32568083845658,-5.581549474968406,-0.160999777118509,6.13575
ml8_ms4_sl12_ss18_sz1.5_bz1.0_tp3.0/2.5_r1.0_p2,8,4,12,18,1.5,1.0,3.0,2.5,1.0,1.0,True,2,1.63,5.77,0.081,35.14,1.54,1.059,111,3,4.1,5.41,-2.37,5.77,-0.432,-1.3524587372311214,1.2411089924307062,-0.4394498820362247,4.689055078633064,-3.380645089720402,1.0429154179971256,5.97375
ml8_ms4_sl12_ss18_sz1.25_bz0.5_tp4.0/2.5_r1.0_p2,8,4,12,18,1.25,0.5,4.0,2.5,1.0,1.0,True,2,7.62,7.58,0.192,31.86,2.83,1.139,204,2,13.29,5.55,-4.6,7.19,-0.611,-0.9489725539127192,2.9922987732837525,-3.6437719635148524,15.252849628479792,-4.790815402844084,-0.22879868109266788,5.966
ml8_ms4_sl12_ss18_sz1.0_bz0.5_tp4.0/2.5_r1.5_p2,8,4,12,18,1.0,0.5,4.0,2.5,1.5,1.0,True,2,8.08,10.3,0.162,30.99,2.96,1.118,213,2,15.92,7.45,-6.36,9.92,-0.65,-2.7590537861077014,2.6305499912971486,-3.590235457027202,20.474085103707694,-5.716032501518564,-1.107935740849053,5.888999999999999
ml8_ms4_sl12_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.5_p2,8,4,12,24,1.0,0.5,3.0,2.5,1.5,1.0,True,2,9.74,8.91,0.222,31.69,2.54,1.167,183,2,17.73,6.78,-6.39,8.53,-0.732,-0.6640862834019989,2.6600609157551025,-1.0835234055546095,16.708826016437904,-4.100986932784611,-2.7995717129266295,5.8675
ml8_ms4_sl12_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.0_p2,8,4,12,24,1.0,0.5,4.0,2.5,1.0,1.0,True,2,7.47,7.44,0.186,30.6,2.54,1.144,183,2,13.77,5.16,-5.14,7.05,-0.682,-1.5501899264393493,2.9289234657592367,-3.569204839114437,16.429988344796765,-3.2852820705054353,-2.331143723500151,5.84975
ml8_ms4_sl12_ss24_sz1.25_bz0.5_tp3.0/2.5_r1.0_p2,8,4,12,24,1.25,0.5,3.0,2.5,1.0,1.0,True,2,8.39,7.04,0.246,32.39,2.44,1.178,176,3,14.91,4.71,-5.27,6.65,-0.75,0.4692472323517993,2.4129932149886457,-1.4891710012481463,13.367213177798654,-3.332902898671275,-2.418916157979445,5.83075
ml8_ms4_sl12_ss18_sz1.25_bz0.5_tp3.0/2.5_r1.0_p2,8,4,12,18,1.25,0.5,3.0,2.5,1.0,1.0,True,2,5.42,8.21,0.166,32.84,2.83,1.101,204,3,12.38,5.3,-5.79,7.82,-0.811,0.4692472323517993,2.4874742377064774,-2.1733121859423443,11.560792134383458,-5.040896946308127,-1.2114987437261915,5.585
ml8_ms4_sl12_ss18_sz1.0_bz0.5_tp4.0/2.5_r1.0_p2,8,4,12,18,1.0,0.5,4.0,2.5,1.0,1.0,True,2,3.27,9.12,0.096,30.99,2.96,1.055,213,2,10.55,7.56,-6.19,8.73,-0.798,-1.5501899264393493,2.347372391967939,-4.238900537677837,14.574764288959962,-4.994117522234132,-1.6774507774954595,5.4807500000000005
ml8_ms4_sl12_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.0_p2,8,4,12,24,1.0,0.5,3.0,2.5,1.0,1.0,True,2,4.71,8.0,0.146,31.69,2.54,1.093,183,2,12.17,5.5,-6.25,7.61,-0.876,-0.14057841406710514,2.1328869864128963,-2.352610204154193,12.631237211671408,-3.5393181284533615,-3.222825920140049,5.44975
ml8_ms4_sl12_ss18_sz1.0_bz0.5_tp3.0/2.5_r1.5_p2,8,4,12,18,1.0,0.5,3.0,2.5,1.5,1.0,True,2,4.08,11.18,0.11,31.92,2.96,1.061,213,2,13.69,8.52,-8.06,10.8,-0.898,-0.6640862834019989,1.4506714242437324,-1.7704817447637966,14.849158892595614,-6.085583596846544,-2.5229562621418955,5.365
ml8_ms4_sl36_ss24_sz0.75_bz0.5_tp3.0/2.5_r1.0_p3,8,4,36,24,0.75,0.5,3.0,2.5,1.0,1.0,True,3,-0.43,6.34,-0.005,33.54,2.28,0.988,164,3,1.21,6.34,-1.62,4.33,-0.207,0.4825611248163719,-4.047496365703973,0.752459603843314,4.187040223408811,-1.042038606611695,-0.580147055504121,5.17375
