config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2021,y2022,y2023,y2024,y2025
r1_1_tp3_a15_22,94.39,12.35,0.821,35.46,13.71,1.243,987,6,6.154685588154729,15.159356401585612,11.61158684561805,17.239619805828088,7.921698689015355,12.601941489998868
r1_0.5_tp3_a15_22,78.95,10.35,0.771,35.46,13.71,1.239,987,6,6.048481855812948,16.34730436549394,7.451638269615368,17.4456175381162,6.131887471505881,8.288613455078565
r1.5_0.75_tp3_a15_22,129.53,15.33,0.761,35.46,13.71,1.228,987,6,8.673879539194719,24.616627172329398,11.044468414517915,26.670968263458228,8.361074858593875,11.194319576346
r1_1_tp3_a18_25,77.46,10.85,0.75,33.29,11.39,1.232,820,6,10.447803144793477,12.184831564472741,8.327151481340467,13.234978016033727,9.52284199569393,6.604760103256679
r2_1_tp3_a15_22,173.61,18.58,0.732,35.46,13.71,1.213,987,6,10.99892554051294,26.34383745017963,13.973477844452663,36.26803341458871,10.310638235570991,13.879337517586787
r1_0.5_tp3_a18_25,64.81,9.81,0.689,33.29,11.39,1.22,820,6,9.153926256963253,12.678121616720706,5.2283863412213805,14.004541259057056,6.935362185725458,4.456943816241865
r1.5_0.75_tp3_a18_25,104.06,14.85,0.681,33.29,11.39,1.209,820,6,13.846580273662035,18.634681774585026,7.339371536070494,21.216484968589032,9.878077766748227,5.677809151808688
r1_1_tp5_a18_25,131.69,14.08,0.861,27.22,11.28,1.28,812,5,15.32573330228817,37.13533151814836,10.97836256438356,30.713708561837105,1.1850582960444278,-0.1924315026793244
r1_1_tp4_a15_22,105.77,10.54,0.802,31.98,13.68,1.229,985,5,9.768335300998277,25.908408707841303,19.77511875898934,15.951721705960509,-1.8840312049573815,9.260997075493504
r1_1_tp5_a15_22,111.92,11.75,0.776,29.4,13.66,1.225,983,5,20.74779713940409,18.704911775236454,7.253706135365423,35.90958509191322,-1.5939638966293024,3.070910596085996
