pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime
GBPUSD,sniper,long,2020-02-17 00:00:00+00:00,1.305203642654419,1.296164395813887,1.3503998768570775,13275.442314720543,2.0,2020-02-19 00:00:00+00:00,1.2960518958138871,-121.49348726040552,-1.2149348726040552,stop_loss,2,normal
USDJPY,sniper,long,2020-02-07 00:00:00+00:00,109.96625183105469,109.15199843872105,114.03751879272286,2728.109715523462,2.0,2020-02-28 00:00:00+00:00,109.14074843872105,-20.479590668261764,-0.20479590668261763,stop_loss,15,normal
USDJPY,sniper,short,2020-02-28 00:00:00+00:00,109.64674713134765,110.55922236768653,105.08437094965328,2697.2146041675746,2.0,2020-03-06 00:00:00+00:00,105.09562094965328,111.95374531239499,1.1195374531239497,take_profit,5,normal
AUDUSD,sniper,short,2020-03-12 00:00:00+00:00,0.6477425962257385,0.6569147753942421,0.60188170038322,13043.76700571176,2.0,2020-03-17 00:00:00+00:00,0.60198920038322,596.796635089912,5.96796635089912,take_profit,3,normal
GBPUSD,sniper,short,2020-03-13 00:00:00+00:00,1.2571640350341797,1.2722425734038592,1.1817713431857828,7934.44066496402,2.0,2020-03-18 00:00:00+00:00,1.1818838431857828,597.3062154682137,5.973062154682137,take_profit,3,normal
EURUSD,sniper,long,2020-03-30 00:00:00+00:00,1.1136386194610595,1.1023452775733105,1.170105328899805,11862.65354816112,2.0,2020-03-31 00:00:00+00:00,1.1022427775733106,-135.18492420398752,-1.3518492420398753,stop_loss,1,high
USDJPY,sniper,short,2020-03-31 00:00:00+00:00,108.04474975585937,109.32279686162495,101.65451422703144,3062.3140741199477,2.0,2020-04-06 00:00:00+00:00,109.33404686162496,-36.54256853414524,-0.36542568534145237,stop_loss,4,high
EURUSD,sniper,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.0916560644307827,1.0260487829944027,12063.441991300075,2.0,2020-04-07 00:00:00+00:00,1.0917585644307826,-133.1447751065516,-1.331447751065516,stop_loss,1,high
AUDUSD,sniper,short,2020-04-07 00:00:00+00:00,0.6117228537368774,0.6226042883169169,0.5573156808366797,11975.492205798155,2.0,2020-04-08 00:00:00+00:00,0.622711788316917,-131.59790041328978,-1.3159790041328978,stop_loss,1,high
AUDUSD,sniper,long,2020-05-11 00:00:00+00:00,0.6536381572914124,0.6434310170231962,0.7046738586324937,12611.892931172903,2.0,2020-05-12 00:00:00+00:00,0.6433235170231961,-130.08713868630812,-1.3008713868630812,stop_loss,1,normal
