date,start_balance,end_balance,pnl,pnl_pct,trades,max_loss_pct,daily_loss_pct,violations
2026-01-15,249.03,255.42752350613983,6.397523506139836,2.5689770333453144,1,-2.5689770333453135,-2.5689770333453144,NONE
2026-01-18,255.42752350613983,253.2259606553962,-2.2015628507436356,-0.8619129295558142,1,-1.6849217585817742,0.8840552747635366,NONE
2026-01-20,253.2259606553962,259.76133012026816,6.535369464871966,2.580844968642712,1,-4.309251945656409,-2.6243301870746363,NONE
2026-01-23,259.76133012026816,266.40065390884837,6.639323788580201,2.555932318912222,1,-6.97532582775102,-2.6660738820946075,NONE
2026-01-26,266.40065390884837,264.1503823065572,-2.2502716022911557,-0.8446944740087269,1,-6.07171116193118,0.9036146658198433,NONE
2026-01-27,264.1503823065572,270.81221080261173,6.661828496054539,2.5219832876574135,1,-8.746821990367316,-2.675110828436148,NONE
2026-02-05,270.81221080261173,277.6281259045676,6.815915101955865,2.516841866825501,1,-11.483807535063077,-2.736985544695765,NONE
2026-02-06,277.6281259045676,275.2706301851239,-2.357495719443699,-0.849155938996638,1,-10.537136162359506,0.9466713727035694,NONE
2026-02-09,275.2706301851239,282.2576081834433,6.986977998319473,2.538221383669089,1,-13.34281338932792,-2.8056772269684265,NONE
2026-02-11,282.2576081834433,279.8879854811518,-2.369622702291518,-0.8395248289468483,1,-12.391272329097625,0.9515410602303008,NONE
2026-02-17,279.8879854811518,277.52934573496583,-2.3586397461860114,-0.8427084650065648,1,-11.44414156325175,0.9471307658458865,NONE
2026-02-22,277.52934573496583,275.17354900187735,-2.3557967330884835,-0.8488459938712988,1,-10.498152432187826,0.9459891310639214,NONE
2026-03-01,275.17354900187735,272.8417673816598,-2.3317816202175576,-0.8473858147614505,1,-9.561806762903984,0.9363456692838443,NONE
2026-03-03,272.8417673816598,279.82809646851445,6.98632908685463,2.5605790322718183,1,-12.367223414253079,-2.8054166513490864,NONE
2026-03-10,279.82809646851445,275.0396230029631,-4.788473465551361,-1.711219683077874,2,-10.44437336986029,1.9228500443927883,NONE
2026-03-13,275.0396230029631,282.14401993954834,7.10439693658526,2.583044893320234,1,-13.297201116149997,-2.8528277462897083,NONE
2026-03-23,282.14401993954834,289.5175711126917,7.373551173143381,2.6133997717630963,1,-16.258109911533435,-2.9609087953834403,NONE
2026-04-01,289.5175711126917,287.01517197086577,-2.502399141825922,-0.8643341169962666,1,-15.253251403793023,1.0048585077404015,NONE
2026-04-07,287.01517197086577,284.52797410635577,-2.4871978645100006,-0.8665736544277424,1,-14.254497091256383,0.9987543125366424,NONE
2026-04-12,284.52797410635577,282.09897605186995,-2.4289980544858296,-0.8536939336509236,1,-13.279113380664961,0.9753837105914267,NONE
2026-04-14,282.09897605186995,289.3264146970351,7.22743864516516,2.562022289593933,1,-16.181349514931973,-2.90223613426702,NONE
2026-04-17,289.3264146970351,286.87316535250045,-2.453249344534637,-0.8479175145841866,1,-15.196227503714594,0.9851220112173782,NONE
2026-04-21,286.87316535250045,284.435218846573,-2.4379465059274894,-0.8498342823149106,1,-14.217250470454553,0.9789770332600447,NONE
2026-04-22,284.435218846573,282.01556440558875,-2.41965444098424,-0.8506873553831689,1,-13.245618763036079,0.9716317074184797,NONE
2026-04-30,282.01556440558875,277.20643909203807,-4.8091253135506875,-1.7052694675511972,2,-11.314475802930597,1.9311429601054844,NONE
2026-05-06,277.20643909203807,274.8407523667822,-2.3656867252558342,-0.853402515830586,1,-10.364515265944755,0.9499605369858388,NONE
2026-05-13,274.8407523667822,272.5012440982827,-2.33950826849951,-0.8512232077495461,1,-9.425066898880742,0.9394483670640124,NONE
2026-05-15,272.5012440982827,279.4811176696125,6.9798735713297635,2.561409799953919,1,-12.227891286034815,-2.8028243871540632,NONE
2026-05-28,279.4811176696125,277.07894209120684,-2.402175578405671,-0.8595126563238499,1,-11.263278356505978,0.9646129295288403,NONE
2026-05-29,277.07894209120684,274.6979456050445,-2.3809964861623616,-0.8593206211169243,1,-10.3071700618578,0.9561082946481796,NONE
2026-06-05,274.6979456050445,281.7740812797779,7.076135674733394,2.5759696379045107,1,-13.148649271082952,-2.8414792092251515,NONE
2026-06-09,281.7740812797779,279.33077686807377,-2.4433044117041214,-0.8671146759158896,1,-12.1675207276528,0.9811285434301575,NONE
2026-06-11,279.33077686807377,276.9112602255037,-2.4195166425700307,-0.8661833363649556,1,-11.195944354296158,0.971576373356636,NONE
2026-06-17,276.9112602255037,274.5246496932525,-2.3866105322512308,-0.8618683582269949,1,-10.237581694274791,0.9583626600213752,NONE
2026-06-18,274.5246496932525,272.13625347525146,-2.3883962180010734,-0.8700115711539244,1,-9.27850197777435,0.9590797165004512,NONE
2026-06-22,272.13625347525146,279.22756714721453,7.091313671963048,2.605795288722142,1,-12.126076033897332,-2.8475740561229763,NONE
2026-06-24,279.22756714721453,286.56812728673486,7.340560139520315,2.6288808854070704,1,-15.073737014309465,-2.947660980412125,NONE
2026-06-25,286.56812728673486,284.0453428715758,-2.522784415159054,-0.8803436861751208,1,-14.060692636058237,1.0130443782512364,NONE
2026-07-15,284.0453428715758,291.5305946118362,7.485251740260342,2.635231285465791,1,-17.06645569282263,-3.0057630567643825,NONE
