date,open,high,low,close,volume
2022-07-10 20:00:00,1.01697,1.01834,1.01648,1.01672,6178.7531
2022-07-11 00:00:00,1.01674,1.01675,1.01348,1.01494,69634.9
2022-07-11 04:00:00,1.01493,1.01544,1.01056,1.01108,65453.1
2022-07-11 08:00:00,1.0111,1.0132,1.00823,1.00899,64078.59
2022-07-11 12:00:00,1.00897,1.01038,1.00521,1.00854,59015.85
2022-07-11 16:00:00,1.00853,1.00875,1.00336,1.00452,28307.45
2022-07-11 20:00:00,1.00451,1.00475,1.00346,1.00458,19123.54
2022-07-12 00:00:00,1.00456,1.00552,1.00059,1.00258,80380.62
2022-07-12 04:00:00,1.00257,1.00391,1.00028,1.00084,105506.22
2022-07-12 08:00:00,1.00083,1.00693,0.99999,1.00397,54596.63
2022-07-12 12:00:00,1.00398,1.00738,1.00327,1.00685,66697.52
2022-07-12 16:00:00,1.00684,1.00725,1.0032,1.00322,17476.47
2022-07-12 20:00:00,1.00323,1.00414,1.0025,1.003,15516.19
2022-07-13 00:00:00,1.003,1.00469,1.00226,1.00363,84023.39
2022-07-13 04:00:00,1.00363,1.00529,1.00062,1.0033,55773.33
2022-07-13 08:00:00,1.00327,1.00695,1.00232,1.00675,48734.18
2022-07-13 12:00:00,1.00676,1.01222,0.99979,1.00779,146426.73
2022-07-13 16:00:00,1.00778,1.00973,1.00541,1.00591,38180.87
2022-07-13 20:00:00,1.00593,1.00618,1.00304,1.00342,18777.628
2022-07-14 00:00:00,1.00341,1.00434,1.00136,1.00328,81016.62
2022-07-14 04:00:00,1.00329,1.00464,1.00052,1.00362,73236.26
2022-07-14 08:00:00,1.00364,1.00503,1.00047,1.00093,79975.87
2022-07-14 12:00:00,1.00092,1.00477,0.99521,1.00272,131502.93
2022-07-14 16:00:00,1.00272,1.00376,0.99835,1.00153,98105.33
2022-07-14 20:00:00,1.00155,1.00263,1.001,1.00263,18356.28
2022-07-15 00:00:00,1.00263,1.00411,1.0011,1.00256,47565.74
2022-07-15 04:00:00,1.00256,1.00356,1.00068,1.00285,47872.67
2022-07-15 08:00:00,1.00282,1.00659,1.00169,1.0054,41334.24
2022-07-15 12:00:00,1.00541,1.00979,1.00408,1.00899,86136.64
2022-07-15 16:00:00,1.00898,1.00936,1.00718,1.00823,26844.54
2022-07-15 20:00:00,1.00823,1.00877,1.00794,1.00821,2202.44
2022-07-17 20:00:00,1.00811,1.00978,1.00785,1.00972,7999.49
2022-07-18 00:00:00,1.00972,1.01143,1.00866,1.01042,31352.11
2022-07-18 04:00:00,1.01041,1.0149,1.00812,1.01458,48874.05
2022-07-18 08:00:00,1.01457,1.01752,1.01196,1.01422,54889.29
2022-07-18 12:00:00,1.01425,1.02011,1.01195,1.016,52745.43
2022-07-18 16:00:00,1.01601,1.01773,1.01408,1.01431,28393.32
2022-07-18 20:00:00,1.01431,1.01485,1.01385,1.01463,11505.32
2022-07-19 00:00:00,1.01464,1.01483,1.01195,1.01267,28584.61
2022-07-19 04:00:00,1.01267,1.02438,1.01241,1.02412,44810.31
2022-07-19 08:00:00,1.02414,1.0269,1.022,1.02534,85248.0
2022-07-19 12:00:00,1.02534,1.02646,1.02245,1.02387,85189.37
2022-07-19 16:00:00,1.02386,1.02451,1.02211,1.02214,29290.25
