pair,year,buy_hold_return
EURUSD,2020,0.0961667685324663
EURUSD,2021,-0.07021526686925927
EURUSD,2022,-0.06266394808206355
EURUSD,2023,0.03347025860264985
EURUSD,2024,-0.05876354710822507
EURUSD,2025,0.13480009258651493
GBPUSD,2020,0.027751983623171217
GBPUSD,2021,-0.012772205148324889
GBPUSD,2022,-0.10841046981508229
GBPUSD,2023,0.0506303068571996
GBPUSD,2024,-0.014210535236649169
GBPUSD,2025,0.07571929555270285
USDJPY,2020,-0.05115887387016782
USDJPY,2021,0.1146707791951509
USDJPY,2022,0.15436593370798035
USDJPY,2023,0.0808971787712689
USDJPY,2024,0.11381888685489372
USDJPY,2025,-0.008280548344703043
AUDUSD,2020,0.09580851293718551
AUDUSD,2021,-0.05883075294551876
AUDUSD,2022,-0.06909308154799276
AUDUSD,2023,0.0004697194734319954
AUDUSD,2024,-0.08804229981841993
AUDUSD,2025,0.08133382652630172
