pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime,initial_stop,initial_tp,initial_units,realized_partial,moved_be,partial_taken
GBPUSD,sniper,short,2018-05-10 12:00:00+00:00,1.35298,1.3628777962703178,1.3342361444111812,1010.3259075950846,1.0,2018-05-23 08:00:00+00:00,1.3343361444111812,18.836370318845113,1.8836370318845113,take_profit,55,high,1.3628777962703178,1.3342361444111812,1010.3259075950846,0.0,False,False
USDJPY,sniper,short,2018-09-26 20:00:00+00:00,112.684,113.13798309502128,111.9212550939863,452.07676791684935,1.0,2018-09-27 12:00:00+00:00,113.14798309502129,-1.8614530720002989,-0.1861453072000299,stop_loss,4,normal,113.13798309502128,111.9212550939863,452.07676791684935,0.0,False,False
GBPUSD,sniper,long,2018-12-04 20:00:00+00:00,1.27172,1.2657407445384903,1.2860200829088213,1700.8387144409992,1.0,2018-12-10 08:00:00+00:00,1.2656407445384903,-10.33983304391253,-1.033983304391253,stop_loss,22,high,1.2657407445384903,1.2860200829088213,1700.8387144409992,0.0,False,False
AUDUSD,sniper,short,2019-04-30 04:00:00+00:00,0.704285,0.7069177169749368,0.6977426463579689,3823.5598197072704,1.0,2019-05-05 20:00:00+00:00,0.6978376463579689,24.65184232911381,2.465184232911381,take_profit,23,normal,0.7069177169749368,0.6977426463579689,3823.5598197072704,0.0,False,False
GBPUSD,sniper,long,2019-05-03 16:00:00+00:00,1.31387,1.304124247989996,1.325564902412005,1032.896264105229,1.0,2019-05-07 12:00:00+00:00,1.304024247989996,-10.169640468439836,-1.0169640468439836,stop_loss,12,high,1.304124247989996,1.325564902412005,1032.896264105229,0.0,False,False
EURUSD,sniper,long,2019-05-23 16:00:00+00:00,1.1171799999999998,1.1125227117866434,1.12463166114137,2192.5146980064283,1.0,2019-05-29 12:00:00+00:00,1.1124327117866435,-10.408499183456472,-1.0408499183456472,stop_loss,24,normal,1.1125227117866434,1.12463166114137,2192.5146980064283,0.0,False,False
GBPUSD,sniper,long,2019-05-29 16:00:00+00:00,1.26306,1.2610375299094556,1.2742046452176268,4997.397942275931,1.0,2019-05-30 12:00:00+00:00,1.2609375299094556,-10.606827663029035,-1.0606827663029035,stop_loss,5,normal,1.2610375299094556,1.2742046452176268,4997.397942275931,0.0,False,False
GBPUSD,sniper,short,2019-06-03 20:00:00+00:00,1.26672,1.267964366380624,1.2542763361937623,8037.037763071999,1.0,2019-06-04 04:00:00+00:00,1.268064366380624,-10.804723368478319,-1.080472336847832,stop_loss,2,normal,1.267964366380624,1.2542763361937623,8037.037763071999,0.0,False,False
AUDUSD,sniper,long,2020-02-04 04:00:00+00:00,0.671585,0.667825568476099,0.6770423294440122,2631.507528622539,1.0,2020-02-05 08:00:00+00:00,0.6769473294440123,14.111010302872604,1.4111010302872604,take_profit,7,normal,0.667825568476099,0.6770423294440122,2631.507528622539,0.0,False,False
GBPUSD,sniper,long,2020-09-02 16:00:00+00:00,1.33171,1.327943437772517,1.3462128872667156,2663.989562763853,1.0,2020-09-03 04:00:00+00:00,1.327843437772517,-10.300481417791504,-1.0300481417791505,stop_loss,3,normal,1.327943437772517,1.3462128872667156,2663.989562763853,0.0,False,False
